Rank,Major_code,Major,Major_category,Total,Sample_size,Men,Women,ShareWomen,Employed,Full_time,Part_time,Full_time_year_round,Unemployed,Unemployment_rate,Median,P25th,P75th,College_jobs,Non_college_jobs,Low_wage_jobs
7,6202,ACTUARIAL SCIENCE,Business,3777,51,832,960,0.535714286,2912,2924,296,2482,308,0.095652174,62000,53000,72000,1768,314,259
25,6212,MANAGEMENT INFORMATION SYSTEMS AND STATISTICS,Business,18713,278,13496,5217,0.278790146,16413,15141,2420,13017,1015,0.058239614,51000,38000,60000,6342,5741,708
28,6204,OPERATIONS LOGISTICS AND E-COMMERCE,Business,11732,156,488,232,0.322222222,10027,9639,1183,7724,504,0.047858702999999995,50000,40000,60000,1466,3629,285
36,6207,FINANCE,Business,174506,2189,89749,49498,0.355469059,145696,137921,21463,108595,9413,0.060686356,47000,35000,64000,24243,48447,9910
38,6205,BUSINESS ECONOMICS,Business,13302,199,3477,1154,0.24919024,10914,10048,1937,8000,1165,0.096448381,46000,33000,58000,1578,4612,1284
41,6201,ACCOUNTING,Business,198633,2042,27392,9306,0.253583302,165527,151967,27693,123169,12411,0.069749014,45000,34000,56000,11417,39323,10886
58,6200,GENERAL BUSINESS,Business,234590,2380,6053,4346,0.4179248,190183,171385,36241,138299,14946,0.072861468,40000,30000,55000,29334,100831,27320
60,6210,INTERNATIONAL BUSINESS,Business,25894,260,1749,690,0.28290282899999997,19660,17563,4890,12823,2092,0.096175064,40000,30000,50000,3383,9482,3046
63,6299,MISCELLANEOUS BUSINESS & MEDICAL ADMINISTRATION,Business,17947,244,7043,1761,0.200022717,14826,13364,3366,10637,1150,0.071982974,40000,30000,51000,2236,8937,1758
77,6203,BUSINESS MANAGEMENT AND ADMINISTRATION,Business,329927,4212,6383,8849,0.580948004,276234,251540,50357,199897,21502,0.07221834099999999,38000,29000,50000,36720,148395,32395
78,6206,MARKETING AND MARKETING RESEARCH,Business,205211,2684,11404,7076,0.382900433,178862,156668,35829,127230,11663,0.061215064000000007,38000,30000,50000,25320,93889,27968
87,6209,HUMAN RESOURCES AND PERSONNEL MANAGEMENT,Business,24497,264,4435,9093,0.672161443,20760,18550,3767,15446,1315,0.059569649,36000,28000,45000,2406,9629,1906
128,6211,HOSPITALITY MANAGEMENT,Business,43647,546,4416,12185,0.733991928,36728,32160,7494,23106,2393,0.061169193,33000,25000,42000,2325,23341,9063
