Rank,Major_code,Major,Major_category,Total,Sample_size,Men,Women,ShareWomen,Employed,Full_time,Part_time,Full_time_year_round,Unemployed,Unemployment_rate,Median,P25th,P75th,College_jobs,Non_college_jobs,Low_wage_jobs
56,2303,SCHOOL STUDENT COUNSELING,Education,818,4,1667,2164,0.56486557,730,595,135,545,88,0.10757946199999999,41000,41000,43000,509,221,0
101,2310,SPECIAL NEEDS EDUCATION,Education,28739,246,11431,6604,0.366176878,24639,21584,5153,16642,1067,0.041507819,35000,32000,42000,20185,3797,1179
114,2300,GENERAL EDUCATION,Education,143718,919,26893,116825,0.8128766059999999,118241,98408,29558,73531,7195,0.057359929000000004,34000,26000,41000,82007,31112,11443
118,2311,SOCIAL SCIENCE OR HISTORY TEACHER EDUCATION,Education,20198,157,12835,35411,0.733967583,17700,14002,5168,8871,1012,0.054082940999999995,34000,23050,42000,10928,5561,1806
120,2305,MATHEMATICS TEACHER EDUCATION,Education,14237,123,4103,15632,0.792095262,13115,11259,2273,8073,216,0.016202835,34000,30000,40000,10699,1977,786
121,2301,EDUCATIONAL ADMINISTRATION AND SUPERVISION,Education,804,5,78253,63698,0.448732309,703,733,0,504,0,0.0,34000,29000,35000,346,206,111
129,2313,LANGUAGE AND DRAMA EDUCATION,Education,30471,235,3878,5276,0.576360061,26033,21419,7239,15266,1379,0.050306435,33000,24000,40000,17985,6824,2819
131,2399,MISCELLANEOUS EDUCATION,Education,10150,126,32510,82923,0.718364766,8691,7264,2202,5816,547,0.059211951,33000,30000,45000,5284,2438,657
134,2309,SECONDARY TEACHER EDUCATION,Education,17125,156,6820,10305,0.601751825,15116,12520,3782,9193,833,0.05222898,32500,25000,38000,10304,3967,1385
137,2314,ART AND MUSIC EDUCATION,Education,34181,338,10732,23449,0.6860244000000001,30007,23018,9209,16537,1206,0.038637747,32100,25000,40000,20821,8260,2767
139,2304,ELEMENTARY EDUCATION,Education,170862,1629,13029,157833,0.923745479,149339,123177,37965,86540,7297,0.046585715,32000,23400,38000,108085,36972,11502
145,2308,SCIENCE AND COMPUTER TEACHER EDUCATION,Education,6483,59,22357,16404,0.423208896,5362,4764,1227,3247,266,0.047263682,32000,28000,39000,4214,1106,591
148,2306,PHYSICAL AND HEALTH EDUCATION TEACHING,Education,28213,259,29909,30724,0.506720763,23794,19420,7230,13651,1920,0.074667496,31000,24000,40000,12777,9328,2042
155,2312,TEACHER EDUCATION: MULTIPLE LEVELS,Education,14443,142,1936,7692,0.798919817,13076,11734,2214,8457,496,0.03654583,30000,24000,37000,10766,1949,722
165,2307,EARLY CHILDHOOD EDUCATION,Education,37589,342,1225,37054,0.9679981190000001,32551,27569,7001,20748,1360,0.040104981,28000,21000,35000,23515,7705,2868
173,3501,LIBRARY SCIENCE,Education,1098,2,134,964,0.877959927,742,593,237,410,87,0.10494571800000001,22000,20000,22000,288,338,192
