Rank,Major_code,Major,Major_category,Total,Sample_size,Men,Women,ShareWomen,Employed,Full_time,Part_time,Full_time_year_round,Unemployed,Unemployment_rate,Median,P25th,P75th,College_jobs,Non_college_jobs,Low_wage_jobs
35,6107,NURSING,Health,209394,2554,21773,187621,0.896018988,180903,151191,40818,122817,8497,0.04486272400000001,48000,39000,58000,151643,26146,6193
45,6105,MEDICAL TECHNOLOGIES TECHNICIANS,Health,15914,190,2794,2145,0.43429844100000004,13150,11510,2665,9005,505,0.03698279,45000,36000,50000,5546,7176,1002
52,6104,MEDICAL ASSISTING SERVICES,Health,11123,67,500,109,0.178981938,9168,5643,4107,4290,407,0.042506527,42000,30000,65000,2091,6948,1270
61,6108,PHARMACY PHARMACEUTICAL SCIENCES AND ADMINISTRATION,Health,23551,38,25463,20957,0.451464886,16620,12537,5346,9131,977,0.055520827,40000,20000,90000,11573,4493,1121
89,6199,MISCELLANEOUS HEALTH MEDICAL PROFESSIONS,Health,13386,81,413,973,0.702020202,10076,7514,4145,5868,893,0.08141125,36000,23000,42000,5652,3835,1422
104,4002,NUTRITION SCIENCES,Health,18909,118,4944,8719,0.63814682,13217,9601,6648,6625,975,0.068700676,35000,26000,45000,6535,5473,2449
105,6103,HEALTH AND MEDICAL ADMINISTRATIVE SERVICES,Health,18109,184,2817,9479,0.770901106,15419,13534,3299,10982,1518,0.089626262,35000,27000,42000,2589,8592,1391
119,6110,COMMUNITY AND PUBLIC HEALTH,Health,19735,130,8575,16075,0.6521298170000001,14512,10099,6377,7460,1833,0.112144387,34000,21000,45000,5225,7385,1854
122,6106,HEALTH AND MEDICAL PREPARATORY PROGRAMS,Health,12740,31,4747,5959,0.5566037739999999,7052,5029,3891,3236,529,0.06977971200000001,33500,23000,40000,3051,3539,1159
127,6109,TREATMENT THERAPY PROFESSIONS,Health,48491,224,3654,6496,0.64,37861,30020,12346,21735,2409,0.059821207,33000,24000,41000,22215,14616,4468
135,6100,GENERAL MEDICAL AND HEALTH SERVICES,Health,33599,202,7574,26025,0.774576624,24406,18166,11088,12809,2183,0.082101621,32400,25000,45000,9364,12889,3816
164,6102,COMMUNICATION DISORDERS SCIENCES AND SERVICES,Health,38279,95,11376,27468,0.7071362370000001,29763,19975,13862,14460,1487,0.047583999999999994,28000,20000,40000,19957,9404,5125
