Rank,Major_code,Major,Major_category,Total,Sample_size,Men,Women,ShareWomen,Employed,Full_time,Part_time,Full_time_year_round,Unemployed,Unemployment_rate,Median,P25th,P75th,College_jobs,Non_college_jobs,Low_wage_jobs
70,6403,UNITED STATES HISTORY,Humanities & Liberal Arts,3079,22,8697,14854,0.6307163179999999,2787,2103,839,1274,138,0.047179487,40000,30000,42000,801,1591,302
100,1501,AREA ETHNIC AND CIVILIZATION STUDIES,Humanities & Liberal Arts,31195,249,12862,40300,0.758060269,24629,18755,9541,13109,1668,0.063429289,35000,24500,44000,8465,11818,3677
115,6402,HISTORY,Humanities & Liberal Arts,141951,1058,280,524,0.651741294,105646,84681,40657,59218,11176,0.09566691199999999,34000,25000,47000,35336,54569,16839
116,2602,FRENCH GERMAN LATIN AND OTHER COMMON FOREIGN LANGUAGE STUDIES,Humanities & Liberal Arts,48246,342,3872,10365,0.728032591,38315,29340,14569,20056,3132,0.075566386,34000,25000,45000,15051,18193,5267
117,4001,INTERCULTURAL AND INTERNATIONAL STUDIES,Humanities & Liberal Arts,24650,184,9950,10248,0.507376968,18824,14354,7978,8801,1718,0.083633531,34000,24000,45000,4956,10343,3168
130,2601,LINGUISTICS AND COMPARATIVE LANGUAGE AND LITERATURE,Humanities & Liberal Arts,16601,88,2337,7579,0.76432029,11165,8462,4831,5821,1302,0.10443571,33000,25000,40000,4122,5695,2085
136,4801,PHILOSOPHY AND RELIGIOUS STUDIES,Humanities & Liberal Arts,54814,375,31967,22847,0.41680957399999996,40157,31086,16659,21816,4267,0.096051684,32200,23000,47100,14444,20313,8051
138,3301,ENGLISH LANGUAGE AND LITERATURE,Humanities & Liberal Arts,194673,1436,4897,2519,0.339670982,149180,114386,57825,81180,14345,0.08772359,32000,23000,41000,57690,71827,26503
141,3401,LIBERAL ARTS,Humanities & Liberal Arts,71369,569,58227,136446,0.70089843,54844,43401,19187,33438,4657,0.078267592,32000,25000,42000,18565,28558,9030
149,6006,ART HISTORY AND CRITICISM,Humanities & Liberal Arts,21030,204,3240,17790,0.845934379,17579,13262,6140,9965,1128,0.060298284,31000,23000,40000,5139,9738,3426
158,3402,HUMANITIES,Humanities & Liberal Arts,6652,49,4133,12117,0.745661538,5052,3565,2225,2661,372,0.068584071,30000,20000,49000,1168,3354,1141
159,4901,THEOLOGY AND RELIGIOUS VOCATIONS,Humanities & Liberal Arts,30207,310,404,1084,0.7284946240000001,24202,18079,8767,13944,1617,0.062628297,29000,22000,38000,9927,12037,3304
163,5502,ANTHROPOLOGY AND ARCHEOLOGY,Humanities & Liberal Arts,38844,247,1167,36422,0.968953683,29633,20147,14515,13232,3395,0.102791571,28000,20000,38000,9805,16693,6866
166,2603,OTHER FOREIGN LANGUAGES,Humanities & Liberal Arts,11204,56,3472,7732,0.690110675,7052,5197,3685,3214,846,0.107115726,27500,22900,38000,2326,3703,1115
168,3302,COMPOSITION AND RHETORIC,Humanities & Liberal Arts,18953,151,14440,28809,0.666119448,15053,10121,6612,7832,1340,0.081742207,27000,20000,35000,4855,8100,3466
