Rank,Major_code,Major,Major_category,Total,Sample_size,Men,Women,ShareWomen,Employed,Full_time,Part_time,Full_time_year_round,Unemployed,Unemployment_rate,Median,P25th,P75th,College_jobs,Non_college_jobs,Low_wage_jobs
21,2102,COMPUTER SCIENCE,Computers & Mathematics,128319,1196,1837,2524,0.578766338,102087,91485,18726,70932,6884,0.063172771,53000,39000,70000,68622,25667,5144
42,3700,MATHEMATICS,Computers & Mathematics,72397,541,9005,2908,0.24410308100000003,58118,46399,18079,33738,2884,0.047277137999999996,45000,33000,60000,34800,14829,4569
43,2100,COMPUTER AND INFORMATION SYSTEMS,Computers & Mathematics,36698,425,515,1247,0.7077185020000001,28459,26348,4332,21130,2934,0.093460326,45000,30000,60000,13344,11783,1672
46,2105,INFORMATION SCIENCES,Computers & Mathematics,11913,158,2960,3291,0.526475764,9881,9105,1468,7378,639,0.060741445,45000,32500,58000,4390,4102,608
47,3702,STATISTICS AND DECISION SCIENCE,Computers & Mathematics,6251,37,23080,9062,0.281936407,4247,3190,1840,2151,401,0.086273666,45000,26700,60000,2298,1200,343
48,3701,APPLIED MATHEMATICS,Computers & Mathematics,4939,45,3916,11998,0.75392736,3854,3465,1176,2593,385,0.09082330699999999,45000,34000,63000,2437,803,357
53,4005,MATHEMATICS AND COMPUTER SCIENCE,Computers & Mathematics,609,7,803,10320,0.927807246,559,584,0,391,0,0.0,42000,30000,78000,452,67,25
54,2101,COMPUTER PROGRAMMING AND DATA PROCESSING,Computers & Mathematics,4168,43,3046,1122,0.269193858,3257,3204,482,2453,419,0.11398259,41300,20000,46000,2024,1033,263
82,2106,COMPUTER ADMINISTRATION MANAGEMENT AND SECURITY,Computers & Mathematics,8066,103,6607,1459,0.180882718,6509,6289,1030,4936,721,0.099723375,37500,25000,50000,2354,3244,308
85,2107,COMPUTER NETWORKING AND TELECOMMUNICATIONS,Computers & Mathematics,7613,97,5291,2322,0.305004597,6144,5495,1447,4369,1100,0.151849807,36400,27000,49000,2593,2941,352
106,2001,COMMUNICATION TECHNOLOGIES,Computers & Mathematics,18035,208,2563,16346,0.8644560790000001,14779,11981,4690,9085,2006,0.11951146900000001,35000,25000,45000,4545,8794,2495
