Rank,Major_code,Major,Major_category,Total,Sample_size,Men,Women,ShareWomen,Employed,Full_time,Part_time,Full_time_year_round,Unemployed,Unemployment_rate,Median,P25th,P75th,College_jobs,Non_college_jobs,Low_wage_jobs
1,2419,PETROLEUM ENGINEERING,Engineering,2339,36,2057,282,0.120564344,1976,1849,270,1207,37,0.018380527,110000,95000,125000,1534,364,193
2,2416,MINING AND MINERAL ENGINEERING,Engineering,756,7,679,77,0.10185185199999999,640,556,170,388,85,0.117241379,75000,55000,90000,350,257,50
3,2415,METALLURGICAL ENGINEERING,Engineering,856,3,725,131,0.153037383,648,558,133,340,16,0.024096386,73000,50000,105000,456,176,0
4,2417,NAVAL ARCHITECTURE AND MARINE ENGINEERING,Engineering,1258,16,1123,135,0.107313196,758,1069,150,692,40,0.050125313,70000,43000,80000,529,102,0
5,2405,CHEMICAL ENGINEERING,Engineering,32260,289,21239,11021,0.341630502,25694,23170,5180,16697,1672,0.061097712,65000,50000,75000,18314,4440,972
6,2418,NUCLEAR ENGINEERING,Engineering,2573,17,2200,373,0.144966965,1857,2038,264,1449,400,0.177226407,65000,50000,102000,1142,657,244
9,2414,MECHANICAL ENGINEERING,Engineering,91227,1029,12953,2105,0.139792801,76442,71298,13101,54639,4650,0.057342277999999997,60000,48000,70000,52844,16384,3253
10,2408,ELECTRICAL ENGINEERING,Engineering,81527,631,8407,6548,0.437846874,61928,55450,12695,41413,3895,0.059173845,60000,45000,72000,45829,10874,3170
11,2407,COMPUTER ENGINEERING,Engineering,41542,399,33258,8284,0.199412643,32506,30315,5146,23621,2275,0.065409275,60000,45000,75000,23694,5721,980
12,2401,AEROSPACE ENGINEERING,Engineering,15058,147,65511,16016,0.19645025600000002,11391,11106,2724,8790,794,0.065162085,60000,42000,70000,8184,2425,372
13,2404,BIOMEDICAL ENGINEERING,Engineering,14955,79,80320,10907,0.11955890300000001,10047,9017,2694,5986,1019,0.09208386,60000,36000,70000,6439,2471,789
14,5008,MATERIALS SCIENCE,Engineering,4279,22,2949,1330,0.310820285,3307,2751,878,1967,78,0.023042836,60000,39000,65000,2626,391,81
15,2409,ENGINEERING MECHANICS PHYSICS AND SCIENCE,Engineering,4321,30,3526,795,0.183985189,3608,2999,811,2004,23,0.006334343,58000,25000,74000,2439,947,263
16,2402,BIOLOGICAL ENGINEERING,Engineering,8925,55,6062,2863,0.32078431399999996,6170,5455,1983,3413,589,0.087143069,57100,40000,76000,3603,1595,524
17,2412,INDUSTRIAL AND MANUFACTURING ENGINEERING,Engineering,18968,183,12453,6515,0.34347321799999997,15604,14879,2243,11326,699,0.042875544,57000,37900,67000,8306,3235,640
18,2400,GENERAL ENGINEERING,Engineering,61152,425,45683,15469,0.252959838,44931,41235,7199,33540,2859,0.059824231,56000,36000,69000,26898,11734,3192
19,2403,ARCHITECTURAL ENGINEERING,Engineering,2825,26,1835,990,0.35044247799999995,2575,2277,343,1848,170,0.061930782999999996,54000,38000,65000,1665,649,137
23,2502,ELECTRICAL ENGINEERING TECHNOLOGY,Engineering,11565,97,2020,973,0.325091881,8587,7530,1873,5681,824,0.087557114,52000,35000,60000,5126,2686,696
24,2413,MATERIALS ENGINEERING AND MATERIALS SCIENCE,Engineering,2993,22,8181,3384,0.292607004,2449,1658,1040,1151,70,0.027788805,52000,35000,62000,1911,305,70
26,2406,CIVIL ENGINEERING,Engineering,53153,565,41081,12072,0.22711794300000002,43041,38302,10080,29196,3270,0.07060957400000001,50000,40000,60000,28526,9356,2899
29,2499,MISCELLANEOUS ENGINEERING,Engineering,9133,118,7398,1735,0.189970437,7428,6811,1662,5476,597,0.074392523,50000,39000,65000,3445,2426,365
31,2410,ENVIRONMENTAL ENGINEERING,Engineering,4047,26,2639,3339,0.558548009,2983,2384,930,1951,308,0.093588575,50000,42000,56000,2028,830,260
32,2500,ENGINEERING TECHNOLOGIES,Engineering,3600,39,16820,1678,0.09071250900000001,2799,2257,689,1723,163,0.055030385,50000,43000,60000,1017,1269,142
34,2411,GEOLOGICAL AND GEOPHYSICAL ENGINEERING,Engineering,720,5,7921,3811,0.32483805,604,524,126,396,49,0.075038285,50000,42800,57000,501,50,49
39,2503,INDUSTRIAL PRODUCTION TECHNOLOGIES,Engineering,4631,73,528,1588,0.75047259,4428,3988,597,3242,129,0.028308097,46000,35000,65000,1394,2454,480
51,2501,ENGINEERING AND INDUSTRIAL MANAGEMENT,Engineering,2906,29,2400,506,0.174122505,2125,1992,462,1358,74,0.03365166,44000,30000,50000,482,844,245
59,1401,ARCHITECTURE,Engineering,46420,362,9658,4582,0.321769663,34158,29223,10206,20026,4366,0.113331949,40000,31000,50000,16178,13724,4221
66,2599,MISCELLANEOUS ENGINEERING TECHNOLOGIES,Engineering,8804,125,124,0,0.0,7502,7001,1240,5825,416,0.05253852,40000,30400,56000,2446,3896,386
67,2504,MECHANICAL ENGINEERING RELATED TECHNOLOGIES,Engineering,4790,71,894,542,0.377437326,4186,4175,247,3607,250,0.056357078,40000,27000,52000,1861,2121,406
