GPA,HSGPA,SATV,SATM,Male,HU,SS,FirstGen,White,CollegeBound
3.06,3.83,680,770,1,3,9,1,1,1
4.15,4,740,720,0,9,3,0,1,1
3.41,3.7,640,570,0,16,13,0,0,1
3.21,3.51,740,700,0,22,0,0,1,1
3.48,3.83,610,610,0,30.5,1.5,0,1,1
2.95,3.25,600,570,0,18,3,0,1,1
3.6,3.79,710,630,0,5,19,0,1,1
2.87,3.6,390,570,0,10,0,0,0,0
3.67,3.36,630,560,0,8.5,15.5,0,1,1
3.49,3.7,680,670,0,16,12,0,1,1
3.25,3.53,380,470,0,18,7,0,0,1
3.18,3.48,630,670,0,26.5,1.5,0,0,1
3.85,3.81,680,740,1,34,0,0,1,1
2.58,3.38,710,750,1,8,3,0,1,1
3.5,3.8,670,650,0,20,3,0,1,1
3.17,3.55,580,690,0,14,3,0,1,1
2.74,3.4,510,610,0,11,10,0,1,1
3.42,3.76,690,670,0,4,17,1,1,1
2.9,3.74,660,640,0,3,18,0,0,1
3.16,3.83,580,640,1,4,14,0,1,1
3.78,3.98,720,730,1,7,6,0,1,1
2.72,3.44,550,570,0,15,3,0,0,1
2.81,3.59,580,630,1,16,6,0,1,1
3.56,3.6,690,710,1,8,10,0,1,1
3.3,3.56,700,640,1,10,10,0,1,1
4,4,450,640,1,22,11,0,0,1
3.4,3.2,630,770,1,6,12,0,1,1
2.29,3.3,630,450,0,16,4,0,0,1
3.2,3.25,590,670,0,0,18,0,1,1
2.58,3.38,500,430,0,5,3,1,0,1
3.11,3.94,620,640,1,17,6,0,1,1
3,2.8,530,700,0,9,7,0,1,1
3,3.7,620,740,1,7,18,0,1,1
3.61,3.46,680,720,1,13,12,0,1,1
3.53,3.99,610,630,0,26,3,0,0,1
2.59,3.59,580,550,0,4,17,1,0,1
3.71,4,570,530,0,25,4,0,1,1
3.26,3.78,710,690,1,8,12,0,1,1
2.1,3.48,580,630,0,15,10,0,1,1
3.79,3.9,670,690,1,5,3,0,1,1
3.43,3.12,640,660,1,12,0,0,1,1
3.13,3.2,610,650,1,14,6,0,1,1
3.41,3.83,640,780,1,29,3,0,1,0
2.23,2.82,600,710,0,18,7,0,1,1
3.16,3.61,570,550,0,14.5,8.5,0,1,1
3.48,3.4,690,720,0,22,6,0,0,1
3.82,3.35,660,730,1,26,3,0,1,1
2.32,3.2,730,650,1,14,11,0,1,1
3.44,3.7,700,630,0,19.5,4.5,0,1,1
2.8,3.48,460,600,1,27,7,0,1,1
2.69,4,560,620,0,3,10,0,1,1
2.9,3.22,680,610,1,7,19,0,1,1
2.77,3.5,660,560,0,15,7,0,1,1
3.52,3,460,480,0,18,9,0,1,1
3.28,3.53,540,610,1,14,9,0,1,1
3.42,3.4,530,680,1,14,6,0,0,1
2.24,3.75,520,600,0,6,4,1,0,1
3.66,3.7,680,740,0,27.5,4.5,0,1,1
3.34,3.89,570,730,1,21,0,1,1,1
3.29,3.89,590,580,0,11,12,0,1,1
3.41,3.52,520,580,0,25,6,1,1,1
3.06,3.2,660,650,0,14,7,0,1,1
2.7,3.25,640,640,1,9,17,0,1,1
2.9,3.19,710,630,1,11,12,0,1,1
3.89,4,740,800,1,12,0,0,1,1
3.11,3.18,610,570,1,22,16,0,1,1
3.73,3.79,580,610,0,24,3,0,1,0
2.52,3.55,670,660,0,10,11,0,1,1
2.84,3.9,700,650,0,1.5,10.5,1,1,0
2.51,3.5,560,670,0,8,9,0,1,1
2.84,3.69,680,590,1,30,9,0,0,1
3.88,3.6,630,640,1,30,0,0,1,1
2.67,3.4,310,440,0,6,9,1,0,0
3.26,2.5,600,640,0,13,0,0,1,1
3.48,3.95,590,610,0,4,9,0,1,0
2.24,3.37,570,590,1,9,0,1,0,1
2.27,3.1,500,660,0,9,6,0,1,1
3.04,3.54,610,750,1,6,11,0,1,1
3.75,3.18,580,650,1,6,7,0,1,1
3.55,3.74,670,570,0,10,12,0,1,1
3.17,3.48,660,710,1,6,14,0,1,1
3.44,3.1,570,740,1,6,4,0,1,1
2.91,2.79,580,550,1,13,11,0,1,1
3.52,3.79,510,580,0,14,7,0,1,1
3.34,3.09,630,610,0,12,14,0,1,1
2.45,3.03,520,650,0,7,11,0,1,1
2.78,3.08,550,540,0,14,4,0,1,1
3.27,4,560,690,0,6,8,1,1,1
3.28,3.92,620,610,0,4.5,4.5,1,0,1
3.25,3.11,710,630,1,14,7,0,1,1
3.49,4,610,580,0,7,3,0,0,1
3.6,3.81,600,580,0,4,10,0,1,1
2.83,3.65,640,710,1,9,10,0,1,1
3.01,2.94,540,580,1,19,0,1,0,1
2.7,3.6,640,730,0,14,13,0,1,1
