GPA UG,GPA UG Max
9.1,10
"3.61, 3.65 (updated)",4
3.27,4
3.966,4
3.94 (2nd/126students),4.3
3.25,4
3.44,4
3.62,3.75
3.7,4.3
3.7,4
3.964,4
3.46,4.3
82.80%,100%
3.754,4
3.59,4
3.57,4
8.99,10
"8.57, Class 1 with Honors",10
3.52,4
3.52,4
3.83,4
3.99,4
17.4,20
3.77,4
3.45,4
3.55,4
3.83,4
3.83,4
3.638,4
3.5,4
 , 
3.21,3.21
3.988,4
3.32,4
3.81,4
9.28,10
3.42,4
3.6,4
3.77,4
87,100
87.84,100
3.75,4
3.07,4
83,100
3.16,4
4,4
3.94,4
3.57,4
3.48,4
3.78,4.3
3.08,4
3.88,4
7.9,10
8.64,10
9.41,10
4.01,4.3
3.47,4
3.77,4
3.22,4
8.81,10
2.99,4
3.681,4
3.89,4
 , 
3.77,4
3.96,4
3.8,4
3.71,3.71
3.323,4
4,4
3.98,3.99
3.62,4.33
3.61,4
3.58,3.8/4.0
8.45,10
3.92,4
7.72,10
3.95,4
15.7,20
3.47,4
3.5,4
3,4
4,5
3.64,4
3.37,4
2.7,4.5
3.89,4
8.7,10
 , 
3.218,4
3.4,"4,0"
 , 
3.76,4
8.76,10
3.543,4
8.846,9
8.6,10
3.44,3.8
6.71,10
3.88,4
3.72,4
3.87,4
3,4
3.63,4
3.69,4
73.15%,100%
3.8,4
3.66,4
3.96,4.3
2.86,4
3.5,4
3.09,4
3.08,4
3.292,4
85.33%,100%
3.86,4
3.75,4
3.94,4
84,100
89,100
3.46,4
3.93,4
3.89,4
8.76,10
8.57,10
Class 1,Class 1 with distinction
3.63,4
3.372,4
3.4,4
3.26,4
3.87,4
3.16,4
3.33,4
3.49,4
4.01,4.5
3.676,4
3.866,4
4,4
3.71,4
3.86,4
3.67,4.3
 , 
3.17,4
 , 
96,100
3.5,4
3.747,4
79.80%,100%
3.65,4
3.68,4
3.65,4
3.41,4
3.79,4
3.87,4
3.777,4
3.45,4
3.84,4.3
3.635,4
3.9,4
8.43,10
3.52,4
3.7,4
3.86,4
3.64,4
3.36,4
3.6,3.6
4.1,5
3.6,4
3.45,4
3.2,4
3.34,3.34
3.15,4
3.97,4
3.79,4
3.93,4
3.91,4
4.64,5
3.97,4.3
3.53,4
89.15,100%
3.37,4.00/100
3.74,4
3.53,4
3.66,4
3.8,4
3.91,4
3.6,4
3.94,4
3.959,4.3
84%,100%
3.37,4
3.42,4
4.075,4.3
3.64,4
87.90%,100%
3.23,4
3.6,4
8.24,10
7.1,10
3.41,4
3.58,4
3.18,4
3.53,4
8.76,10
3.75,4
3.9,4
18.1,20
3.59,4
17.18,20
3.58,4
3.921,4
"92,02",100
3.86,4
3.88,4
3.11,4
3.729,4
3.32,4
3.25(82.9%),4.3(100%)
3.77,4
4.72,5
3.82,4
4.13,5
86.86%,100%
7.31,10
3.96,4
7.2,10
3.84,4
3.77,4
86.82%,100%
3.47,4
4,4
3.86,4
3.5,4
3.76,4
8.12,10
7.3199,10
3.464,4
3.35,4
3.75,4
3.2,4
3.48,4
3.61,4
3.96,4
8.398,10
8.51,10
80.75,100
3.65,4
8.35,10
8.16,10
3.971,4
3.11,4
N/A,N/A
 , 
2.51,4
3.765,4
8.41,10
4,4
3.46,4
3.643,4
3.76,4
3.28,4
16.81,20
3.516,4
8.24,10
7.91,10
3.57,4
3.7,4
3.76,4.3
3.29,4.3
3.72,4
8.46,10
3.957,4
3.53,4
3.64,4
3.54,4
3.8,4
3.03, 
3.63,4
3.35,4
3.2,4
3.62,4
3.68,4
3.76,4
3.79,4
3.984,4
3.63,4
3.82,4
3.61,4
3.78,4
3.8,4
7.489,10
3.52,4
3.57,4
3.38,4
3.62,4
9.58,10
3.97,4
3.73,3.78
3.75,4
3.56,4
3.71,3.71
3.19,4
86.8,100
3.96,4
85.9,100%
3.41,4
3.74,4
3.58,4
4.25,5
3.73,4
3.82,4
3.49,4.33
4.3,5
3.65,4
3.65,4
3.67,4
3.72,4
3.69,4
3.47,4
100%,95%/100%
4.3,5
3.40/4.00, 
82.5,100
3.73,4
3.59,4
3.48,4
3.19,4
90.79%,100%
3.71,4
3.80/4.00,3.90/4.00
3.7,4
2.93,5
3.79,5
3.85,4
81.40%,100%
3.63,4
3.8,4
3.88,4.3
3.8,4
3.44,4
3.54,4.3
3.57,4
3.94,4.33
8.06,10
3.88,4.33
2.57,4
3.2,4
85.09%,100%
3.6,4
3.68,4
3.18,4
82.8,1-100 scale
3.5,4
3.79,4
3.54,4
88.6,100
2.88,3.8
3.6,4
87.91,100
3.72,4
3.9,4
3.58,4
91.3,100
3.35,4
